epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,3153.08,0.4803,0.38993,0.88229,0.90176,0.9562,0.95639,0.55646,1.38273,0.7316,1.37496,0.0002576,0.0002576,0.0002576
134,3177.58,0.49696,0.38561,0.88374,0.90176,0.9562,0.95639,0.55646,1.38273,0.7316,1.37496,0.0002444,0.0002444,0.0002444
135,3202.06,0.47484,0.37974,0.8657,0.90176,0.95625,0.95518,0.5541,1.39105,0.74923,1.37603,0.0002312,0.0002312,0.0002312
136,3223.54,0.49729,0.39171,0.88749,0.91554,0.9375,0.95328,0.53252,1.41694,0.76491,1.3899,0.000218,0.000218,0.000218
137,3248,0.47529,0.37136,0.87296,0.91631,0.9375,0.953,0.53235,1.44427,0.74582,1.40674,0.0002048,0.0002048,0.0002048
138,3272.63,0.46466,0.37085,0.85565,0.93734,0.93492,0.95662,0.52748,1.45138,0.73957,1.41192,0.0001916,0.0001916,0.0001916
139,3293.95,0.48598,0.37134,0.87371,0.95743,0.93701,0.96039,0.52864,1.45818,0.74026,1.43107,0.0001784,0.0001784,0.0001784
140,3318.31,0.50241,0.39706,0.89006,0.95396,0.9375,0.95697,0.53315,1.47349,0.74134,1.45385,0.0001652,0.0001652,0.0001652
141,3339.59,0.45555,0.39485,0.82876,0.95298,0.9375,0.95342,0.51876,1.48767,0.74611,1.46582,0.000152,0.000152,0.000152
142,3363.63,0.48492,0.45929,0.85328,0.95298,0.9375,0.95342,0.51876,1.48767,0.74611,1.46582,0.0001388,0.0001388,0.0001388
143,3387.79,0.46964,0.44324,0.85292,0.94955,0.9375,0.95058,0.51909,1.50097,0.75148,1.47921,0.0001256,0.0001256,0.0001256
144,3409.05,0.46032,0.40746,0.86306,0.9454,0.9375,0.95008,0.51783,1.49774,0.75524,1.48713,0.0001124,0.0001124,0.0001124
145,3433.59,0.42856,0.37045,0.83649,0.93656,0.9375,0.95127,0.52424,1.49525,0.75586,1.49113,9.92e-05,9.92e-05,9.92e-05
146,3457.86,0.51453,0.43164,0.87231,0.93601,0.9375,0.94829,0.52075,1.49766,0.75507,1.49302,8.6e-05,8.6e-05,8.6e-05
147,3478.94,0.46418,0.3971,0.85645,0.94737,0.9375,0.94602,0.51901,1.49546,0.76039,1.48982,7.28e-05,7.28e-05,7.28e-05
148,3503.25,0.41648,0.37538,0.82961,0.93341,0.9375,0.94557,0.52327,1.49632,0.76028,1.48425,5.96e-05,5.96e-05,5.96e-05
149,3527.43,0.41658,0.34989,0.8224,0.93372,0.9375,0.94502,0.52419,1.49191,0.75542,1.48035,4.64e-05,4.64e-05,4.64e-05
150,3549.1,0.44204,0.35521,0.85621,0.93372,0.9375,0.94502,0.52419,1.49191,0.75542,1.48035,3.32e-05,3.32e-05,3.32e-05
